Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,N
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,N
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,N
,,,,,,,,,,,N
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,N
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,N
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,N
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,N
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,Y
,,,,,,,,,,,N
